uniq_id,reference,bike_type,bike_size,bike_year,bike_year_circulation,bike_km,bike_color,bike_warranty,bike_description,price,bike_brand,bike_model,vendor_city,vendor_type,source,scrap_date,url
moto-selection-1188968,1188968,SCOOTER,500,2019,0,6369,,,"  Extension de garantie possible,Financement & Assurance possibles ,Dossier d'entretien complet,Garantie 3 mois  Concessionnaire  exclusif PIAGGIO GILERA VESPA  agrée assurances . Piaggio mp3 500  -piaggio x 10 -piaggio  -piaggio typhoon -piaggio zip-Piaggio medley -piaggio fly-piaggio liberty  s vespa primavera - vespa sprint- vespa gts - vepa 946 S  gilera fuoco- gilera runner  GP 800  accessoires - akrapovic -technoglobe-ls-givi-kappa-momo design-kabuto-midland-nolan - sena  ",6500,PIAGGIO,MP3 500 HPE SPORT ABS-ASR, Paris 10,Pro,moto-selection,2021-06-05 11:27:11.154554,http://www.moto-selection.com/moto-occasion/piaggio-mp3-500-hpe-sport-abs-asr/1188968.html
moto-selection-1189025,1189025,SCOOTER,200,2014,0,5163,,,"SUZUKI UH 200 BURGMAN ! Véhicule révisé, entretien et consommables a jour, aucun frais a prévoir. Option : Sissy bar. Reprise et financement possibles. Livraison possible en France métropolitaine.   ",2990,SUZUKI,BURGMAN, Limonest,Pro,moto-selection,2021-06-05 11:27:16.303385,http://www.moto-selection.com/moto-occasion/suzuki-burgman/1189025.html
moto-selection-1188966,1188966,SCOOTER,125,2014,0,7670,,,"  ABS,Support Top case,Top case,Assurance sur place,Aucun consommable à prévoir,Pneu ar neuf,Pneu av neuf,Révision faite,100% d'origine,En parfait état",2599,MBK,TRYPTIK 125, Grenoble,Pro,moto-selection,2021-06-05 11:27:23.838510,http://www.moto-selection.com/moto-occasion/mbk-tryptik-125/1188966.html
moto-selection-1188970,1188970,SCOOTER,125,2020,0,16672,,,"  ,1ère main,Disponible à l'essai,Garantie constructeur jusqu'au 08/08/2022",4190,YAMAHA,X-MAX, La Roche Sur Yon,Pro,moto-selection,2021-06-05 11:27:29.735382,http://www.moto-selection.com/moto-occasion/yamaha-x-max/1188970.html
moto-selection-1188932,1188932,SCOOTER,125,2002,0,15300,,,"SUZUKI BURGMAN 125 2002 chez SIMPSON MOTO, votre concessionnaire BETA, GAS GAS, MASH, MASAI dans le VAR, 83 BON ETAT / PNEUS OK / VIDANGE OK FONCTIONNE PARFAITEMENT VENDU AVEC 1 TOP CASE SHAD + DOSSERET    SIMPSON MOTO. Livraison possible dans toute la France et en Corse. Possibilité de règlement en 3 ou 4 fois par CB ou CRÉDIT CLASSIQUE. Votre concessionnaire GASGAS, BETA, SHERCO, MASH, MASAI, DAELIM, HYTRACK dans le Var, 83 ",1400,SUZUKI,BURGMAN, La Begude,Pro,moto-selection,2021-06-05 11:27:35.311597,http://www.moto-selection.com/moto-occasion/suzuki-burgman/1188932.html
moto-selection-1188998,1188998,SCOOTER,125,2020,0,2274,,,"Yamaha XMAX 125 2020 : Véhicule en excellent état,  Aucun frais à prévoir,  Révision à jour,  Très faible kilométrage,  Véhicule équipé d'un pot d'échappement ARROW.  Béquille centrale,Dépôt-vente,Disponible à l'essai,Garantie constructeur jusqu'au 06/05/2022  votre concession vous accueille du mardi au samedi de 9h30 a 12h30 et de 14h00 a  19h00. Samedi fermeture a  18h00. startandgo-yamahadouai.com Possibilite de financement et assurance sur nos vehicules. livraison possible partout en France. EXTENTION DE GARANTIE POSSIBLE DE 12 MOIS A 36 MOIS. ",4690,YAMAHA,X-MAX, Dechy,Pro,moto-selection,2021-06-05 11:27:41.749116,http://www.moto-selection.com/moto-occasion/yamaha-x-max/1188998.html
moto-selection-1189003,1189003,ROADSTER,800,2015,0,10030,,,"MOTO EN TRES BON ETAT GENERAL (légère rayure échappement et écaille flanc gauche de réservoir, rien de bien méchant). ELLE EST EQUIPEE D'UN SAUTE VENT, DES SUPPORTS VALISES ET DE 2 SACOCHES LATERALES. RARE A TROUVER DANS CETTE VERSION AVEC JANTES A RAYONS. A SAISIR. ICON FULL THROTTLE CLASSIC  ,1ère main,Compatible Permis A2,Garantie 3 mois  MOTOMAX 57 YAMAHA - INDIAN - BETA - PIAGGIO - GILERA - VESPA - MOTO GUZZI",6850,DUCATI,SCRAMBLER, Woippy,Pro,moto-selection,2021-06-05 11:27:47.046766,http://www.moto-selection.com/moto-occasion/ducati-scrambler/1189003.html
moto-selection-1188997,1188997,ROUTIÈRE,600,2000,0,60000,,,"  Béquille centrale,Selle confort,Selle perso,Assurance sur place,Démarches administratives sur place,Financement & Assurance possibles ,Prix hors frais d'immatriculation,Aucun consommable à prévoir,Double des clés ,Très bon état général,1ère main,Compatible Permis A2",2390,YAMAHA,FZ6 FAZER 98CV, St Priest,Pro,moto-selection,2021-06-05 11:27:52.348237,http://www.moto-selection.com/moto-occasion/yamaha-fz6-fazer-98cv/1188997.html
moto-selection-1188959,1188959,ROADSTER,675,2014,0,13500,,,"  ,Garantie 6 mois",6590,TRIUMPH,SPEED TRIPLE, Dunkerque,Pro,moto-selection,2021-06-05 11:27:52.424719,http://www.moto-selection.com/moto-occasion/triumph-speed-triple/1188959.html
moto-selection-1188969,1188969,SCOOTER,125,2018,0,17350,,,"LA CLINIQUE DU SCOOTER PROPOSE  SCOOTER: MEDLEY ABS   Année-modèle : 2018 Kilométrage : 17 350 kms Couleur : Gris MAT  Cylindrée : 125 cc  Vignette : Crit'Air 1 ( Violet ) Accessoires : Top-case TREKKER,  TABLIER Bon état Pour l'achat du scooter un support et coque téléphone Tigra seront offert Garantie 3 mois  ,Garantie 3 mois",2599,PIAGGIO,MEDLEY 125, Paris 13,Pro,moto-selection,2021-06-05 11:27:58.888707,http://www.moto-selection.com/moto-occasion/piaggio-medley-125/1188969.html
moto-selection-1189006,1189006,ROUTIÈRE,1200,2016,0,29636,,,"  ABS,Anti-patinage,Béquille centrale,Indicateur de rapport engagé,Peinture métal,Poignées chauffantes,Prise USB,1ère main,Disponible à l'essai,Garantie 6 mois",8250,TRIUMPH,BONNEVILLE T120, Nice,Pro,moto-selection,2021-06-05 11:28:06.039515,http://www.moto-selection.com/moto-occasion/triumph-bonneville-t120/1189006.html
moto-selection-1189010,1189010,ROADSTER,600,2008,0,27000,,,"  ,Garantie 3 mois",3490,SUZUKI,GSR, Champniers,Pro,moto-selection,2021-06-05 11:28:11.211059,http://www.moto-selection.com/moto-occasion/suzuki-gsr/1189010.html
moto-selection-1188961,1188961,TRAIL,685,2018,0,7000,,,"SELLE CONFORT  TOP CASE  VALISES GIVI PRISE 12 V   55KW  ,Garantie 6 mois",7890,YAMAHA,TRACER 700, Dunkerque,Pro,moto-selection,2021-06-05 11:28:11.285764,http://www.moto-selection.com/moto-occasion/yamaha-tracer-700/1188961.html
moto-selection-1188967,1188967,SCOOTER,125,2021,0,1769,,,"  ABS,Peinture mat ,Assurance sur place,Démarches administratives sur place,Financement & Assurance possibles ,Financement possible,Gravage possible,Prix hors frais d'immatriculation,Reprise possible,Assistance routière,Aucun consommable à prévoir,Dossier d'entretien complet,Double des clés ,Factures d'entretien,Manuel d'origine,Révision faite,Trousse à outil,Entièrement d'origine,Etat exceptionnel,Première main,1ère main,Garantie constructeur jusqu'au 17/02/2026",4489,HONDA,NSS FORZA 125, Paris 11,Pro,moto-selection,2021-06-05 11:28:16.512875,http://www.moto-selection.com/moto-occasion/honda-nss-forza-125/1188967.html
moto-selection-1188985,1188985,TRAIL,650,2010,0,13300,,,"Votre concession Suzuki de Salaise sur Sanne vous propose cette Kawasaki Versys 650 totalisant 13300kms à venir voir. Moto actuellement en version NON bridée, mais compatible après bridage pour les permis A2.  Selle confort,Support Top case,Top case 2 casques,Assurance sur place,Démarches administratives sur place,Essai sur rendez-vous,Financement & Assurance possibles ,Financement possible,Gravage possible,Prix hors frais d'immatriculation,Double des clés ,Manuel d'origine,Révision faite,Compatible Permis A2,Dépôt-vente,Disponible à l'essai,Garantie 3 mois",4900,KAWASAKI,VERSYS, Salaise Sur Sanne,Pro,moto-selection,2021-06-05 11:28:21.744836,http://www.moto-selection.com/moto-occasion/kawasaki-versys/1188985.html
moto-selection-1188933,1188933,SCOOTER,50,2013,0,1011,,,"SCOOTER APRILIA 50 SR MOTARD AIR 2013 chez SIMPSON MOTO, votre concessionnaire BETA, GAS GAS, MASH, MASAI dans le VAR, 83 BON ETAT GENERAL / ENTIEREMENT REVISE FONCTIONNE PARFAITEMENT LE CYLINDRE A ÉTÉ REMPLACÉ AINSI QUE LE COMPTEUR IL Y A 1011 KMS 2 PNEUS NEUFS      SIMPSON MOTO. Livraison possible dans toute la France et en Corse. Possibilité de règlement en 3 ou 4 fois par CB ou CRÉDIT CLASSIQUE. Votre concessionnaire GASGAS, BETA, SHERCO, MASH, MASAI, DAELIM, HYTRACK dans le Var, 83 ",900,APRILIA,SR 50 MOTARD, La Begude,Pro,moto-selection,2021-06-05 11:28:27.474849,http://www.moto-selection.com/moto-occasion/aprilia-sr-50-motard/1188933.html
moto-selection-1189008,1189008,ROUTIÈRE,865,2014,0,8300,,,"Triumph Bonneville T100 S.E  25/02/2014 8300 km Sacoches latérales   ,Dépôt-vente  TRIUMPH RENNES 9 rue des maréchales 35132 VEZIN LE COQUET 02 21 650 123 bertrand@triumph.bzh  Nous aurons le plaisir de vous accueillir dans notre nouvelle concession : Du mardi au vendredi : de 9h30 à 12h00 et de 14h à 19h . Le samedi : 9h30 à 12h30 et de 14h à 18h Pour toutes informations, vous pouvez contacter Bertrand. ",8290,TRIUMPH,BONNEVILLE 865 T100, Vezin Le Coquet,Pro,moto-selection,2021-06-05 11:28:33.156374,http://www.moto-selection.com/moto-occasion/triumph-bonneville-865-t100/1189008.html
moto-selection-1188965,1188965,ROADSTER,650,2006,0,32135,,,"  Assurance sur place,Démarches administratives sur place,Financement possible,Gravage possible,Joints spy neufs,Plaquettes neuves,Révision faite,Compatible Permis A2,Garantie 12 mois",4599,KAWASAKI,ER-6, Lens,Pro,moto-selection,2021-06-05 11:28:37.759019,http://www.moto-selection.com/moto-occasion/kawasaki-er-6/1188965.html
moto-selection-1189026,1189026,CUSTOM,1900,2020,0,8300,,,"INDIAN SPRINGFIELD DARKHORSE 116 cc !  Véhicule révisé, entretien et consommables a jour, aucun frais a prévoir. Options : Ligne échappement JeKill & Mr Hyde, sissy bar, crash bar de valises et feux avant led avec clignotants intégrés.  Reprise et financement possibles. Livraison possible en France métropolitaine.   ",23500,INDIAN,SPRINGFIELD DARKHORSE, Limonest,Pro,moto-selection,2021-06-05 11:28:44.587353,http://www.moto-selection.com/moto-occasion/indian-springfield-darkhorse/1189026.html
moto-selection-1188957,1188957,ROADSTER,125,2019,0,1242,,,"YAMAHA MT125 ABS DU 10/01/2020 AVEC SEULEMENT 1242 KMS . LIGNE AKRAPOVIC .   ,Dépôt-vente,Garantie constructeur jusqu'au 09/01/2022",4100,YAMAHA,MT-125 ABS, Calais,Pro,moto-selection,2021-06-05 11:28:51.684491,http://www.moto-selection.com/moto-occasion/yamaha-mt-125-abs/1188957.html
moto-selection-1188687,1188687,ROUTIÈRE,847,2016,0,23051,,,"Ancien véhicule de gendarmerie  Révision à jour, suspensions remise à neuf, aucun frais à prévoir  Options: peinture personnalisée, top case 50L Yamaha, sacoche de réservoir, poignées chauffantes, grille de radiateur, bras oscillant rallongé  Garantie 1  an CIRANO  Assurance, reprise, extension de garantie et  financement possibles  ,Disponible à l'essai,Garantie 12 mois",8399,YAMAHA,MT-09 TRACER, Nimes,Pro,moto-selection,2021-06-05 14:46:17.989082,http://www.moto-selection.com/moto-occasion/yamaha-mt-09-tracer/1188687.html
moto-selection-1183188,1183188,ROADSTER,650,2008,0,49763,,,"SUZUKI 650 BANDIT . Moto accidentée en procédure RSV/VEI, vente réservée aux professionnels, Vente possible aux particuliers COMPLET uniquement pour la pièce ou pour la piste, Pour plus d'informations n'hésitez pas nous contacter par téléphone ou par mail gary@gam-motos, fr, Les véhicules accidentés sont vendus dans l'état sans aucune garantie,  Notre référence véhicule à rappeler : 61938  Tous nos véhicules sont visibles chez GAM-MOTOS rn7 motteux 45290 Pressigny ou sur notre site BIKE-ECO   ",1500,SUZUKI,GSF 650 N BANDIT, Pressigny Les Pins,Pro,moto-selection,2021-06-05 14:46:22.531311,http://www.moto-selection.com/moto-occasion/suzuki-gsf-650-n-bandit/1183188.html
moto-selection-1187739,1187739,ROADSTER,50,1990,0,12608,,,"Moto rare en France donc à collectionner d'urgence Démarre A réviser/restaurer (carburation/injection, bougie(s), vidange, freins, pneus...)  Documents fournis à la vente : _ carte grise japonaise (originale), _ facture, _ certificat de cession, _ certificat 846A des Douanes.  * Livraison Bouches-du-Rhône = 156EUR * Livraison France (hors Corse) = 276EUR * Livraison Portugal et Espagne, Belgique et Allemagne  80 125 250 RG RGV RS YSR TZM TZR RS                                                                                              Toutes nos motos sont visibles et disponibles dans notre show Room de Vitrolles en France (13127)  Consultez notre stock de motos d'occasion sur notre boutique en ligne : bike-eco.fr - livraison en France possible - pole position motos vous propose plusieurs véhicules disponibles en stock - véhicules visibles dans nos locaux - pole position moto - rn 113, quartier l'agneau - 13127 vitrolles - horaires : - lundi 13h30-18h00 - mardi au vendredi 8h45-12h30 14h00-18h00 - samedi 9h00-12h30'                                                                                                                                       Téléphone = 04.42.79.22.22",2990,HONDA,NSR 50, Vitrolles,Pro,moto-selection,2021-06-05 14:46:29.530198,http://www.moto-selection.com/moto-occasion/honda-nsr-50/1187739.html
moto-selection-1176845,1176845,SCOOTER,500,1994,0,4525,,,"Rare Gilera Saturno 500  - Démarre - Bel état général - Révision à prévoir (nettoyage carbu, bougie, vidange etc) - Carte grise collection 2024 ou passage à la Dreal - Livraison Bouches du Rhône = 156EUR - Livraison en France hors Corse = 276EUR - Livraison Portugal / Espagne = MONCAO +351 912 127 178 / moncaotir@gmail.com - Livraison Allemagne / Belgique = ANATRANS +32 56 84 36 22 / annatrans@sdgg.be  - Documents fournis à la vente :  Carte grise Japonaise (original) Facture Certificat de cession Certificat 846A des douanes Française  350, ducati, aprilia, mv agusta, rs, 250, RGV, vfr, magni, mhr, 900, 1000, ss, pantah, 400                                                                                              Toutes nos motos sont visibles et disponibles dans notre show Room de Vitrolles en France (13127)  Consultez notre stock de motos d'occasion sur notre boutique en ligne : bike-eco.fr - livraison en France possible - pole position motos vous propose plusieurs véhicules disponibles en stock - véhicules visibles dans nos locaux - pole position moto - rn 113, quartier l'agneau - 13127 vitrolles - horaires : - lundi 13h30-18h00 - mardi au vendredi 8h45-12h30 14h00-18h00 - samedi 9h00-12h30'                                                                                                                                       Téléphone = 04.42.79.22.22",4990,GILERA,SATURNO, Vitrolles,Pro,moto-selection,2021-06-05 14:46:35.045986,http://www.moto-selection.com/moto-occasion/gilera-saturno/1176845.html
moto-selection-1183451,1183451,SPORTIVE,1000,2009,0,7400,,,"MODELE RARE ET EXCELLENT ETAT - MOTO REVISEE ET PNEUS NEUFS   Peinture vernie,Alarme,Échappement homologué,Assurance sur place,Démarches administratives sur place,Essai sur rendez-vous,Extension de garantie possible,Financement & Assurance possibles ,Financement possible,Livraison possible,Plus de photos sur demande,Prix hors frais d'immatriculation,Transport possible,Révision faite,A peu roulé,Affaire à saisir,Très bon état général,Utilisation loisirs,Véhicule en dépôt vente,1ère main,Dépôt-vente  Aussi visible sur notre site Occasion WARMUPMOTO toutes marques et reprise possible YAMAHA-HONDA-SUZUKI-BMW-KAWASAKI-TRIUMPH-DUCATI-KTM-APRILIA-HARLEY DAVIDSON--MOTO GUZZI-Roadster, routière, er6 f, er 6 f, mt07, fz6, cb 500, mt09, z800, mt 09, fazer, fz8, fazer800, z 750, mt09, mt 09, tracer900, tracer 900, mt07, mt 07,mt07abs, mt07 abs, er6n, er6, er 6 n, z800, z 800, z800e, z 800e , z 800 e, mt 03, mt03, fjr, fjr1300, 1300 fjr, xsr700, xsr 700, xsr900, xsr 900.MP3 - XMAX  -X-MAX ",11990,HONDA,CBR 1000 RR FIREBLADE, Lescure D Albigeois,Pro,moto-selection,2021-06-05 14:46:38.707589,http://www.moto-selection.com/moto-occasion/honda-cbr-1000-rr-fireblade/1183451.html
moto-selection-1187757,1187757,ROADSTER,1290,2016,0,10700,,,"Mis à la vente par Mekanik, concessionnaire officiel Honda, KTM, Moto Guzzi, Vespa, Piaggio, Aprilia et Gilera à Annecy.   Tous nos véhicules d'occasion sont vérifiés avant la vente dans nos ateliers et bénéficient d'une garantie européenne de 6 mois.   Entretien suivi,faible kilométrage. Échappement SC Project, rabaissée.   Vo : 2570 _Options : Échappement SC Project, rabaissée   ",12500,KTM,SUPERDUKE R 1290, Seynod,Pro,moto-selection,2021-06-05 14:46:42.181998,http://www.moto-selection.com/moto-occasion/ktm-superduke-r-1290/1187757.html
moto-selection-1184854,1184854,TRAIL,800,2016,0,15300,,,"Bagagerie complète Alu BMW Feux additionnels / clignotants Led ABS / ESA / Ordinateur de bord Modes de cartographie Protections moteur Version 35 kw : Permis A2  ,Disponible à l'essai,Garantie 3 mois",9990,BMW,F 800 GS, La Roche Sur Yon,Pro,moto-selection,2021-06-05 14:46:47.710434,http://www.moto-selection.com/moto-occasion/bmw-f-800-gs/1184854.html
moto-selection-1187104,1187104,SCOOTER,125,2021,0,623,,,"4/1REF: 34196 .1°MAIN.FAIBLE KILOMETRAGE.AUCUN FRAIS A PREVOIR.GARANTIE CONSTRUCTEUR KYMCO .LIVRAISON CHEZ VOUS DEVIS NOUS CONSULTER. REPRISE ASSURANCE ET FINANCEMENT POSSIBLE. 4en1 , 8 rue philippe de Girard 75010 Paris Ouvert du Mardi au Samedi de 9h30 à 13h et de 14h à 18h30 Tél : 01.40.36.40.36. Nous rachetons votre véhicule au meilleur prix !  Modèles équivalents : Honda vision lead pcx forza sh sh125 sh300 swt400 silverwing swt 600 integra  Xadv yamaha delight nmax xmax majesty tmax 500 t max 530 tmax sx dx   suzuki burgman piaggio x8 x9 x10 x-evo vespa primavera zip kymco ak550 peugeot metropolis X Town X-Town X Town  ABS,Anti-démarrage,Peinture mat ,Top case,1ère main,Garantie constructeur jusqu'au 12/01/2026",3190,KYMCO,X.TOWN 125, Paris 10,Pro,moto-selection,2021-06-05 14:46:53.733715,http://www.moto-selection.com/moto-occasion/kymco-x.town-125/1187104.html
moto-selection-1182994,1182994,ROADSTER,797,2018,0,12000,,,"  34CH,ABS,Démarches administratives sur place,Essai sur rendez-vous,Gravage possible,Plus de photos sur demande,Prix hors frais d'immatriculation,Bridable A2,Compatible Permis A2,Disponible à l'essai,Garantie 3 mois",6790,DUCATI,MONSTER 797, Arles,Pro,moto-selection,2021-06-05 14:46:59.487439,http://www.moto-selection.com/moto-occasion/ducati-monster-797/1182994.html
moto-selection-1166824,1166824,ROUTIÈRE,900,2020,0,1200,,,"K'EXTREME vend cette magnifique Z900 de direction, 1200 km évolutifs, révisée, garantie constructeur         Financement classique de 12 à 60 mois,   Jean-Christophe  au 05.63.63.00.00 ou 06.74.09.62.16. 690 sm sm 990 s1000rr  z1000   ,Garantie constructeur jusqu'au 24/01/2022",7990,KAWASAKI,Z 900, Montauban,Pro,moto-selection,2021-06-05 14:47:05.477106,http://www.moto-selection.com/moto-occasion/kawasaki-z-900/1166824.html
moto-selection-1186634,1186634,ROUTIÈRE,600,2005,0,22500,,,"  ABS,Béquille centrale,Support Top case,Top case,Assurance sur place,Démarches administratives sur place,Extension de garantie possible,Financement & Assurance possibles ,Financement possible,Gravage possible,Plus de photos sur demande,Prix hors frais d'immatriculation,Aucun consommable à prévoir,Dossier d'entretien complet,Double des clés ,Manuel d'origine,Entièrement d'origine,Première main,Très bon état général,1ère main",3500,HONDA,CBF 600 S, St Priest,Pro,moto-selection,2021-06-05 14:47:11.695089,http://www.moto-selection.com/moto-occasion/honda-cbf-600-s/1186634.html
moto-selection-1186508,1186508,ENDURO,250,2018,0,3900,,,TRES BELLE 250 FE A JOUR D ENTRETIEN AKKRA PROTECTION BRAS DE DISQUE FINANCEMENT ET LIVRAISON POSSIBLE P MAINS   ,7399,HUSQVARNA,FE 250, Soissons,Pro,moto-selection,2021-06-05 14:47:17.672411,http://www.moto-selection.com/moto-occasion/husqvarna-fe-250/1186508.html
moto-selection-1188973,1188973,SCOOTER,400,2010,0,23573,,,"PIAGGIO MP3 400 LT DATE DE MISE EN CIRCULATION: 10/07/2010 KILOMETRAGE: 23573 KMS GARANTIE 3 MOIS  Top case,Double des clés ,Révision faite,Garantie 3 mois  ITALISCOOT-ITALIBIKE 129 ROUTE DES SORINIERES 44400 REZE OUVERT DU MARDI AU SAMEDI 9H15-12H15/14H-19H ",3990,PIAGGIO,MP3, Reze,Pro,moto-selection,2021-06-05 14:47:24.141061,http://www.moto-selection.com/moto-occasion/piaggio-mp3/1188973.html
moto-selection-1188631,1188631,ROADSTER,1250,2008,0,36866,,,"Très belle Suzuki 1250 Bandit S du 04/10/2008 avec seulement 36866 kms, équipée d'un kit valises, du top case, de carénages inférieurs et d'un e bulle haute, la moto a tous ses doubles de clefs, son carnet de garantie et ses factures d'entretien, elle est révisée et garantie 3 mois rien a prévoir.   ,Disponible à l'essai,Garantie 3 mois  REPRISE AUTO possible toutes marques, tous kilométrages. Livraison à domicile partout en France à partir de 399EURttc ACHAT - REPRISE - DEPOT VENTE MOTO, QUAD & SCOOTER MULTIMARQUE Possibilité de garantie 12,24 et 36 mois pour 21EUR/mois* *Voir condition auprès du service commercial",4490,SUZUKI,GSF 1250 S BANDIT, Nimes,Pro,moto-selection,2021-06-05 14:47:28.653086,http://www.moto-selection.com/moto-occasion/suzuki-gsf-1250-s-bandit/1188631.html
moto-selection-1183489,1183489,ROUTIÈRE,1300,2009,0,54330,,,Options :  Garantie 3 mois avec possibilité d'extension à 12 mois + ESA (réglage amortisseur au guidon) + poignées chauffantes + régulateur de vitesse+ bulle électrique LA MAISON DE LA MOTO - 06250 MOUGINS - FRANCE Tel :04.93.75.18.40 - email : info@maisondelamoto.fr Website: http://www.maisondelamoto.fr  ,7690,BMW,K 1300 GT, Mougins,Pro,moto-selection,2021-06-05 14:47:32.703611,http://www.moto-selection.com/moto-occasion/bmw-k-1300-gt/1183489.html
